top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1912 root      20   0  316976   5452   4820 S   0.0  0.0   0:03.12 upowerd
 1949 user       9 -11 1198840   7004   6496 S   0.0  0.0   0:00.14 pulseaudio
 1950 rtkit     21   1  183512   2324   2124 S   0.0  0.0   1:01.63 rtkit-daemon
 1986 user      20   0  356124   5988   5084 S   0.0  0.0   0:00.01 ibus-daemon
 1990 user      20   0  275384   4816   4816 S   0.0  0.0   0:00.00 ibus-dconf
 1992 user      20   0  338552  14484  14020 S   0.0  0.0   0:00.04 ibus-x11
 1994 user      20   0  273196   4584   4512 S   0.0  0.0   0:00.02 ibus-portal
 2004 user      20   0  266200   3748   3748 S   0.0  0.0   0:00.00 xdg-permission-
 2009 user      20   0  690052   7776   7776 S   0.0  0.0   0:00.01 gnome-shell-cal
 2015 user      20   0 1366936  12316  11132 S   0.0  0.0   0:00.35 evolution-sourc
 2030 root      20   0  291512   5352   4888 S   0.0  0.0   0:04.46 boltd
 2046 user      20   0  188024   4656   4156 S   0.0  0.0   0:00.09 dconf-service
 2048 user      20   0  785732  10712  10520 S   0.0  0.0   0:00.14 goa-daemon
 2067 user      20   0  301452   6628   5132 S   0.0  0.0   1:28.32 gvfs-udisks2-vo
 2073 user      20   0  268684   4136   4136 S   0.0  0.0   0:00.00 gvfs-goa-volume
 2082 user      20   0  298000   4288   4236 S   0.0  0.0  12:08.13 goa-identity-se
 2087 user      20   0  270508   3492   3492 S   0.0  0.0   0:00.00 gvfs-mtp-volume
 2091 user      20   0  283300   4824   4824 S   0.0  0.0   0:00.00 gvfs-gphoto2-vo
 2095 user      20   0  373468   4488   4488 S   0.0  0.0   0:00.01 gvfs-afc-volume
 2100 root      20   0  517444  57416  10160 S   0.0  0.2   5:39.13 packagekitd
 2115 user      20   0  511724  15324  13964 S   0.0  0.0   0:08.50 gsd-power
 2122 user      20   0  343972   5392   5196 S   0.0  0.0   0:00.43 gsd-print-notif
 2125 user      20   0  417852   4536   4232 S   0.0  0.0   0:00.12 gsd-rfkill
 2130 user      20   0  270372   3680   3680 S   0.0  0.0   0:00.00 gsd-screensaver
 2131 user      20   0  447608   4696   4304 S   0.0  0.0   0:00.23 gsd-sharing
 2138 user      20   0  372828   5284   5284 S   0.0  0.0   0:00.00 gsd-smartcard
 2142 user      20   0  329736   4992   4992 S   0.0  0.0   0:00.00 gsd-sound
 2152 user      20   0  489320  15308  14584 S   0.0  0.0   0:00.62 gsd-xsettings
 2157 user      20   0  422860  14412  13844 S   0.0  0.0   0:00.06 gsd-wacom
 2163 user      20   0  338160  14068  13592 S   0.0  0.0   0:00.04 gsd-clipboard
 2164 user      20   0  272916   4228   4228 S   0.0  0.0   0:00.00 gsd-a11y-settin
 2165 user      20   0  464508   8948   8948 S   0.0  0.0   0:00.00 gsd-datetime
 2168 user      20   0  518760  28560  14532 S   0.0  0.1 161:28.73 gsd-color
 2169 user      20   0  501188  15312  13580 S   0.0  0.0   0:00.43 gsd-keyboard
 2172 user      20   0  359208   5748   5368 S   0.0  0.0   3:06.65 gsd-housekeepin
 2173 user      20   0  272920   4068   4068 S   0.0  0.0   0:00.00 gsd-mouse
 2182 user      20   0  863492  15056  14248 S   0.0  0.0   0:03.52 gsd-media-keys
 2215 user      20   0  503412   8212   7816 S   0.0  0.0   0:00.44 gsd-printer
 2220 colord    20   0  319652   7936   6624 S   0.0  0.0   0:00.08 colord
 2245 user      20   0  271932   5320   4416 S   0.0  0.0   0:02.22 gsd-disk-utilit
 2253 user      20   0  815848  29280  27152 S   0.0  0.1   0:01.60 nautilus-deskto
 2263 user      20   0  367960   5364   4784 S   0.0  0.0   0:00.36 indicator-messa
 2270 user      20   0  887408  12040  12040 S   0.0  0.0   0:00.16 evolution-calen
 2275 user      20   0  199524   4804   4804 S   0.0  0.0   0:00.00 ibus-engine-sim
 2280 user      20   0  362876   5104   4672 S   0.0  0.0   0:08.20 gvfsd-trash
 2313 root      20   0   25992   1920   1728 S   0.0  0.0   0:11.31 dhclient
 2320 user      20   0 1131204   7872   7872 S   0.0  0.0   0:00.25 evolution-calen
 2335 user      20   0  727484   8184   8184 S   0.0  0.0   0:00.02 evolution-addre
 2346 user      20   0 1014264   8752   8424 S   0.0  0.0   0:00.23 evolution-addre
 2356 hutianyu  20   0   82736   5528   4876 S   0.0  0.0   0:00.00 obexd
 2397 whoopsie  20   0  388600   7600   6932 S   0.0  0.0   0:00.62 whoopsie
 2399 root      20   0 2094068  11080    964 S   0.0  0.0  28:16.98 dockerd
 2429 kernoops  20   0   56940   1716   1604 S   0.0  0.0   3:00.14 kerneloops
 2443 kernoops  20   0   56940   1860   1596 S   0.0  0.0   3:00.54 kerneloops
 2577 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0-mem
 2677 root      20   0    4512    760    700 S   0.0  0.0   0:00.00 none
 2690 root      20   0       0      0      0 I   0.0  0.0   0:00.10 kworker/13:1-mm
 2723 zhoulin   20   0 1526820 294436  34348 S   0.0  0.9   6:42.97 gnome-software
 2725 zhoulin   20   0  673072 117560  15592 S   0.0  0.4   4:25.14 update-notifier
 3028 user      20   0 1653688  10716  10100 S   0.0  0.0   0:56.64 zeitgeist-datah
 3040 user      20   0  423344   5856   5452 S   0.0  0.0   0:00.87 zeitgeist-daemo
 3048 user      20   0  320292   6344   6208 S   0.0  0.0   0:00.00 zeitgeist-fts
